record_id,title_abstract_decision,exclusion_reason,rationale
R8E288B9D2BD0,exclude,E04,"Studies child undernutrition (CIAF) with water/sanitation as a covariate; outcome is nutrition not access, no governance factor."
R4510FB180ECE,exclude,E01,River-aquifer hydrogeochemistry modeling study; unrelated to water/sanitation service access.
RCACFA1B7BDF4,exclude,E01,"Mental health of pregnant women in Gaza; sanitation mentioned only in passing, not the study focus."
RE2D4F0DA0B8D,exclude,E01,Hospital pharmacist survey on off-label antimicrobial surgical washes; unrelated to water/sanitation access.
R2575420000AA,exclude,E06,Technical method study using fish finders to monitor cyanobacteria in a reservoir; pure engineering/monitoring.
R784BD57C974F,exclude,E06,Geophysical investigation of karst caves for a tunnel/water-supply project; pure engineering.
R640CDDD5EC47,exclude,E06,"Hydraulic tracer study of a treatment wetland; pure engineering, no governance or access angle."
R4A6545701DB1,exclude,E01,Economic history study of industrialization's effect on human capital in China; unrelated to water/sanitation access.
R2495BE3D34F5,exclude,E01,Dental microbiology study of mouthwash antibacterial activity; unrelated to water/sanitation access.
R45E20F326875,exclude,E06,Geophysical seepage detection study of a water-supply canal; pure engineering.
RDDB6ABBA4782,exclude,E01,Industrial centrifuge filtration engineering study; unrelated to water/sanitation service access.
R01DA3E23464A,exclude,E04,"Sanitation empowerment resources examined for mental-health outcomes (well-being/anxiety/depression), not access/exclusion outcome."
R29712353FE5C,exclude,E06,Reservoir water quality modelling to set minimum water level; pure environmental engineering.
RAC07F6BD3A34,exclude,E01,Delphi study of climate-sensitive diseases in Bangladesh; sanitation mentioned only as a contributing factor to disease surges.
R31C829316F6F,exclude,E06,"Groundwater nitrate leaching mechanisms in irrigated agriculture; pure hydrology, no access or governance content."
R3F1E0AD93DBA,exclude,E06,"Technical feasibility study of fog water collection as an alternative source; engineering assessment, not empirical access/governance study."
R8B1C348EBC43,exclude,E06,Regression modelling to predict water conduit failure rates; pure engineering reliability study.
RF6613633E201,exclude,E06,Hydrological modelling of sea-level-rise groundwater salinization impacts on water supply; no governance/access empirical evidence.
R6C90D296B458,exclude,E06,"Methodology for ranking urban water source area importance in China; technical/planning study, no access outcome."
RAD1FCF8C33B6,exclude,E04,"Municipal performance index study where water supply is one infrastructure predictor of economic/crime outcomes, not an access outcome."
REC9B67545ED8,exclude,E05,Reflective essay on SDGs and water management in Brazil; no empirical evidence presented.
RD874B0BA92F5,include,,Mixed-methods study of unequal water access in Cabo San Lucas linking concession-regime documentary analysis to household survey outcomes.
R903589DE93FC,exclude,E04,"Physicochemical/bacteriological drinking water quality assessment in rural Ethiopia; outcome is water quality, not access."
RB5C34676894E,exclude,E06,GIS multi-criteria site selection for desalination plants; pure engineering/environmental siting study.
R76D82E4887F3,exclude,E01,Stormwater pollutant loading from low-impact-development construction; unrelated to water/sanitation service access.
RC08046E60236,exclude,E06,Hydrogeological method for classifying manual-drilling suitability zones in Senegal; pure technical siting study.
R43B59BAC6BD5,exclude,E06,Probabilistic seismic damage/loss modeling for a wastewater pipe network; pure engineering risk methodology.
R1A36CC2584FA,exclude,E01,Study of executive function and pre-academic skills in preschoolers; water/sanitation access is only a setting descriptor.
RB2BCBFC2CDEE,exclude,E06,"GIS analysis of forest/soil loss around rural aqueduct water springs in Costa Rica; environmental erosion study, not access outcome."
R77C9CEA330F0,exclude,E06,Engineering design and hydraulic calculation of two-column water intake wells.
R19E5408986F2,unsure,,Examines affordability/utilization of community fluoride-filter water schemes; unclear if community scheme counts as an institutional/governance factor.
R111E004E6C18,exclude,E06,"Random Forest machine-learning land-use monitoring in protected riparian zones for SDG6; environmental monitoring method, no access content."
RB443EAED50C9,exclude,E06,Hydrochemistry of the freshwater-seawater transition zone in karst island aquifers; pure hydrogeology.
RDF943FAD915C,exclude,E01,Cross-sectional study of traditional Siddha medicine COVID-19 practices; unrelated to water/sanitation access.
R3CDCF7F90083,exclude,E05,Narrative review of groundwater-human development synergies/trade-offs; no empirical or systematic evidence base presented.
RA41284DAE517,exclude,E06,"Groundwater potential zone mapping using AHP/GIS in Ethiopia; pure hydrology, no governance content."
RE7818EF0D808,exclude,E01,"Kalman filter-PID controller for subsurface capillary irrigation; agricultural engineering, unrelated to service access."
R8EA07E093163,exclude,E06,Reliability-resilience-vulnerability framework for optimal water resources allocation; pure hydrological optimization study.
R5E48901286F5,exclude,E01,Mining engineering study of water-flowing fissure zone development in coal mining; unrelated to service access.
R5D01FAC4FF7A,exclude,E01,Materials science study of artificial weathering of charred wood; unrelated to water/sanitation access.
RF08F2EB28AAD,exclude,E01,PCB pollution seasonal cycle study of the River Seine; water-quality/pollution study with no access or governance content.
RFB78EA7B4C0E,exclude,E04,"Geospatial machine-learning model predicting groundwater arsenic contamination risk; outcome is contamination risk, not access."
RC6ED4CA9878A,unsure,,Mixed-methods Gaza study reports restricted WASH access under blockade among broader health needs; unclear if water/sanitation findings are separable and empirically substantive.
R2D6368ADAC84,exclude,E06,AHP/GIS prioritization of groundwater sources for protection in a mining region; pure hydrogeological siting study.
R310B434A2B68,exclude,E01,"Institutional-logics study of ""fem wash"" activism in the pornography market; unrelated to water/sanitation access."
RA37C4C99F8E6,exclude,E06,"Hybrid GIS/knowledge-driven groundwater potential zonation in Malaysia; pure hydrology, no governance content."
REDD102A5542C,exclude,E01,Cross-sectional study of handwashing practice among hospital employees; unrelated to household/community water access.
RFA01258BEB08,exclude,E04,"Groundwater antibiotic/E. coli contamination study in Kisumu informal settlements; outcome is contamination, not access."
R47AE56976CA9,exclude,E06,National-level framework for assessing rainwater harvesting potential in Taiwan; pure engineering assessment.
R8CCEDE35FF40,exclude,E01,Systematic review conceptualizing organizational diversity facade; unrelated to water/sanitation access.
R933905DBE17E,exclude,E06,Borehole temperature-profiling method for detecting hydraulically active fractures; pure hydrogeology engineering.
R0B5B6303EA3D,exclude,E06,Hydraulic reliability monitoring of a wastewater treatment wetland in Sicily; pure engineering study.
R80DAA5BC88B1,exclude,E06,"Decision-support system for domestic water demand forecasting; pure planning/engineering tool, no access outcome."
R8731FCFB69CA,exclude,E06,Geoelectric prospecting study of aquifer-river interactions in Nigeria; pure hydrogeology engineering.
RF36593B8FBC9,exclude,E01,Archaeological/hydrological 3D-model analysis of an ancient water supply system in Jordan; not a contemporary access/governance study.
R7CAF7454724B,exclude,E06,WEAP-model scenario analysis of future urban water supply/demand for Jeddah; pure engineering planning study.
R27DD97CBED0D,exclude,E01,Pediatric OCD symptom-dimension study (washing is a symptom category); unrelated to water/sanitation access.
RF95EF9EDD5F7,exclude,E01,Petroleum geochemistry study of oil fluid inclusion maturity; unrelated to water/sanitation access.
RBBF62508EFE1,exclude,E01,GIS/satellite study of historic heavy-metal pollution in a Romanian lake; water-quality study with no access/governance content.
RDC2A8AF4E016,exclude,E01,Microbiology study of bacterial communities on seaweed exposed to sewage discharge in Greenland; unrelated to service access.
R97D490CD5FE6,exclude,E01,Pediatric OCD symptom factor-analysis study (washing/cleaning as a compulsion); unrelated to water/sanitation access.
R946777EC2EDF,exclude,E01,Radionuclide health-risk modeling of groundwater migration in the Chernobyl exclusion zone; unrelated to service access.
R69C111F90EE1,exclude,E06,"GIS-AHP groundwater potential mapping in Northeast India; pure hydrogeology, no governance content."
R698A6524263F,exclude,E06,Lab study of microplastic impacts on wastewater treatment microbial communities; pure engineering/microbiology.
RBB214596FD74,exclude,E01,"Dissolved methane flux study in coastal waters near a wastewater outfall; environmental chemistry, no access content."
R16D6492BF239,exclude,E01,Mass spectrometry imaging method for plant metabolites; unrelated to water/sanitation access.
R948C1ABEEA00,exclude,E01,"Land-cover change study around a Colombian lagoon; ecosystem-services focus, not household water/sanitation access."
RFFB5BFDE3838,include,,Ethnographic/document analysis of how governance institutions vs slum residents in Agra frame sanitation problems and shape planning processes.
R0166FE9ACB4D,exclude,E06,Calibration of an anaerobic digestion model (ADM1) with fly ash for winery wastewater; pure process engineering.
R7D5F37E459E5,exclude,E01,Survey study of wealth status and household handwashing stations in Nepal; no legal/institutional/governance factor examined.
R0A787D10670C,exclude,E06,"Hydrogeological modeling of a Croatian island aquifer; pure geology, no governance or access content."
RCC5DFA6B743A,exclude,E06,Global modeling of reservoir potential for future surface water yields; pure hydrological engineering study.
R1CD68BF79E67,include,,Qualitative study of contextual/institutional factors shaping village sanitation and health committee functioning and access to resources in India.
R9E204D8D7C28,exclude,E01,Description of a coastal meteorological monitoring network in Brazil; not a water/sanitation access study.
R969DAB3D3983,exclude,E04,"National prevalence survey of soil-transmitted helminths in Colombian schoolchildren; outcome is infection prevalence, not access."
RD1C0D7CFF926,exclude,E06,Technical study of coagulation/flocculation water treatment chemistry; pure engineering.
RC55D95B45897,exclude,E01,Petroleum geochemistry study of oil inclusion alteration in a gas-condensate field; unrelated to water/sanitation access.
RA8807079C554,exclude,E06,"Technical modeling of rainwater harvesting storage sizing and reliability in Germany; engineering assessment, not empirical governance/access study."
R4EEE275F13B8,exclude,E01,"Narrative account of infection-control challenges in Gaza healthcare under siege; focus is healthcare infection control, not a water/sanitation access study."
R6D45C6EB8400,exclude,E04,"Seroprevalence study of mosquito-borne viral infections in Tanzania; piped water is only a minor risk-factor covariate, outcome is disease seropositivity."
R452394915DC9,exclude,E01,Hydrological study of radionuclide transport in the Chornobyl Exclusion Zone catchments; unrelated to water/sanitation service access.
RA01A1611986A,exclude,E01,"DHS survey analysis of child stool disposal practices in Ghana; factors are demographic/geographic, no legal/institutional/governance factor examined."
R5123B8E0D86B,exclude,E01,Horticultural propagation study of sapoti tree cuttings; unrelated to water/sanitation access.
R6EC7477D0AD0,exclude,E06,Pilot-scale study of chemical additives to improve wastewater sludge settling; pure treatment engineering.
RC8017232B44F,exclude,E06,Engineering resilience analysis of water pumps used for power-grid frequency regulation; no governance/access content.
R604123204AE7,exclude,E06,Laboratory study of denitrification in permeable pavement submerged zones; pure stormwater engineering.
R973E7694B163,exclude,E04,"Parasitological survey of intestinal parasites among schoolchildren in Bolivia; outcome is infection prevalence, not access."
RE792044A84B1,exclude,E01,Evaluation of family planning service delivery in Ethiopian health facilities; piped water is only a minor facility-readiness indicator.
RF078767CEEDC,exclude,E06,Hydraulic modeling of septic tank soil-absorption trench flow; pure engineering study.
RD50E13E1A036,exclude,E06,Risk-index decision-support tool for prioritizing water mains renewal; pure asset-management engineering tool.
R41A465EED67E,exclude,E01,Study of cryptocurrency tax-loss harvesting and wash trading; unrelated to water/sanitation access.
R3D5FC887629E,exclude,E06,Study of atmospheric circulation systems' effect on reservoir water volumes in Brazil; pure climatology/hydrology.
R69A3882B319E,exclude,E01,"Cross-sectional study of adherence to cholera-prevention behaviors in Kinshasa; focus is individual behavior, not water/sanitation access or governance."
R5323FC74F187,exclude,E04,"Prevalence survey of intestinal parasitic infections in pastoralist children in Ethiopia; outcome is infection prevalence, not access."
R4207BD3D0464,include,,Ethnographic study of how infrastructural disconnection from water/sanitation constitutes gendered violence and exclusion for low-income women in urban India.
R196406899952,exclude,E06,GIS/hazard-index modeling of agricultural nitrate pollution of groundwater in Spain; pure environmental modeling.
RB3ADDAD5556A,exclude,E01,Analytical chemistry review of methods for measuring volatile fatty acids; unrelated to water/sanitation access.
RFCADA39B0923,exclude,E06,Field hydrogeology study of perched groundwater in bedrock uplands; pure hydrogeology.
RFA1BC4581F8E,exclude,E01,"Study of civil-society roles in coastal shoreline governance in Tamil Nadu; water/sanitation mentioned only in passing, not the study focus."
RCF620E7E079E,exclude,E04,"Geospatial correlation study of drinking-water compliance and notified gastrointestinal infections in Slovenia; outcome is disease incidence, not access."
R8F5B4CB4A583,exclude,E06,Hydraulic/mixing characterization of a large algal-pond wastewater treatment system; pure engineering study.
R9E1FB9240BA3,exclude,E01,Water-quality monitoring study of anthropogenic contamination in a Mexican coastal lagoon; unrelated to service access.
RFB1515C352D7,exclude,E06,DRASTIC/GIS groundwater vulnerability mapping for a Turkish drinking-water basin; pure hydrogeological modeling.
R33CCD91E05F7,exclude,E01,Materials science study of antibacterial self-cleaning cotton fabric coatings; unrelated to water/sanitation access.
R69985449D20F,exclude,E06,SWAT+ hydrological modeling of river flow and rainfall for irrigation water availability; pure engineering study.
RAB7F3B3D3329,exclude,E06,Machine-learning prediction of oxygen-transfer alpha-factor in wastewater treatment aeration; pure process engineering.
RD9A7AD3CB18B,exclude,E01,Policy study of EU energy-label design for washing machines; unrelated to water/sanitation service access.
R87BE550B5151,exclude,E01,Theoretical neuroscience study of dendritic sequence learning; unrelated to water/sanitation access.
R90CFF7BF1E6E,exclude,E06,Support-vector-machine forecasting of water pipe failure rates; pure engineering reliability study.
RD3A769D72235,exclude,E04,"Cross-sectional study of diarrheal disease among under-five children in flood-prone Ethiopia; outcome is disease prevalence, not access."
R61FBDEDFA780,exclude,E01,Veterinary study of swine salmonellosis control; unrelated to water/sanitation access.
RC1411CB42DFB,exclude,E06,Hydrogeochemical characterization of arsenic-affected aquifers in the Bengal Basin; pure hydrogeology study.
R1C37C4BBCFC2,exclude,E01,Plate-tectonic reconstruction of South Atlantic seafloor spreading; unrelated to water/sanitation access.
R99F745022B7C,exclude,E01,Seismological study of induced earthquakes from oil/gas wastewater injection in Oklahoma; unrelated to water/sanitation service access.
R9F408B06CC30,exclude,E01,"Simulation-education study of central venous catheter placement patient-safety behaviors; handwashing is a minor protocol item, unrelated to service access."
RE02C7579E69B,exclude,E01,"Socio-technical analysis of UK low-carbon energy investment; water supply mentioned only as an analogous sector, not studied."
R7562AB7A89D4,include,,Empirical governance study of actor preferences for public/private/inter-municipal organizational models in the Swiss water sector.
R6633D02DAFEB,include,,Survey-based study linking public-private partnership governance models to user prices and service quality in the Portuguese water sector.
R24C0AFDA0E27,exclude,E01,Survey of citizen perceptions of problems caused by urban trees; water supply network damage is only one minor item listed.
R2BA2CEA86EDD,exclude,E04,"Cross-sectional survey of menstrual hygiene knowledge among schoolgirls in Nigeria; outcome is knowledge, not water/sanitation access."
RBD85544973EF,exclude,E01,Tracer-test hydrogeology study of landfill contaminant transport in Slovenian karst; unrelated to service access governance.
R62B57C49186F,exclude,E01,Paleogeographic reconstruction of Paratethys depositional environments; unrelated to water/sanitation access.
R9D838E8FBB65,include,,Document-based institutional analysis of state capture's cascading effects on South Africa's Department of Water and Sanitation service provision.
R78340B0972D4,exclude,E01,Ecological study of wading bird responses to human disturbance; unrelated to water/sanitation access.
R3D131AEB7BA4,exclude,E01,Laboratory/field study of forest-fire-driven radioactive contamination of groundwater in Chornobyl; unrelated to service access.
R03207EF9C5E1,exclude,E04,"Cross-sectional study of active trachoma prevalence among children in Ethiopia; outcome is infection prevalence, not access."
R89239FC63065,exclude,E01,Case study of wastewater effluent effects on Arctic phytoplankton; unrelated to water/sanitation service access.
R5F2294EB74B8,exclude,E01,"Historical narrative of sewerage/water-discharge infrastructure development in an Amsterdam polder district; descriptive urban planning history, not an empirical access study with identifiable population/exposure/outcome."
RA00CD48D764E,exclude,E01,Environmental microbiology study tracing fecal contamination sources at California recreational beaches; unrelated to service access.
R6C35B17A90A5,exclude,E06,Study of membrane fouling mechanisms in wastewater treatment bioreactors; pure process engineering.
R98F626F8049B,exclude,E01,Stakeholder survey of nature-based tourism development in the Mekong Delta; environmental sanitation is a minor item among tourism factors.
R052E109A1026,exclude,E06,"Land-use/land-cover change modeling along a Botswana river system; environmental/hydrology study, no access outcome."
R2CA17B59F4BC,exclude,E01,Conceptual framework paper on corporate climate-risk management and reporting; unrelated to water/sanitation access.
R86FCE512EC9D,exclude,E07,"Survey of public knowledge/attitudes on solid waste management in Puno, Peru; concerns solid waste service, not water/sanitation service."
R9B9B8CCEBCCF,exclude,E06,Hydrologic/geochemical study of wetland connectivity to a Florida water-supply aquifer; pure hydrology.
R4E8131526277,exclude,E06,"Technical overview of groundwater sources, water-supply systems, and microbial pollution across Nordic countries; engineering/public-health overview, no access/governance analysis."
R6082DD9C7D53,exclude,E01,"Observational study of supermarket COVID-19 guideline compliance in Uganda; handwashing facilities are a minor item, unrelated to household water/sanitation access."
RCA9704ECF2FC,exclude,E06,"GIS exposure assessment of US wastewater infrastructure to sea-level-rise flooding; engineering risk analysis, no governance factor examined."
R697CA51F0F0B,exclude,E01,Qualitative desk review of global health diplomacy's effectiveness on the right to health in Gaza; water/sanitation is one minor item within broader health diplomacy analysis.
R4C3A5CF6F745,exclude,E01,"Review of Guillain-Barre Syndrome in war-torn regions; collapsing sanitation is a minor contextual trigger, not the study focus."
R66872D07C81E,exclude,E01,Historical study of yellow fever endemicity concepts and vaccine access in colonial Africa; unrelated to water/sanitation service access.
R6CCFC0B34402,exclude,E06,Description of a meteorological/hydrological sensor network in Yosemite National Park; pure engineering/monitoring study.
R6350CA51713D,exclude,E01,Molecular biology study of snake-venom thrombin-like enzyme cloning; unrelated to water/sanitation access.
RC6FE0EA0D9C0,exclude,E01,EFSA scientific opinion on microbiological risks of washing table eggs; unrelated to water/sanitation access.
R89FC35B632EA,exclude,E01,Review of Pakistan's primary education reforms; clean water/sanitation is a passing item in a broader education-facilities list.
R77F54A235285,exclude,E06,Model-based analysis of forward osmosis membrane fouling; pure process engineering.
R5395625DE616,exclude,E05,Action-plan/framework paper proposing water-sector planning for Philippine cities; no empirical access outcome data reported.
R274CEA41C19D,exclude,E05,"Conceptual dual-continua framework for classifying regional water infrastructure/supply; illustrative model, not an empirical study."
RDA5BC09AA112,exclude,E01,Critical review of India's National Action Plan on antimicrobial resistance; water/sanitation infrastructure is one minor recommendation among many.
RB23A761E5A20,exclude,E06,Materials-science study of a cellulose composite filter for oil-water separation; pure treatment engineering.
R38235D5FC676,exclude,E06,Hydrogeological study of preferential groundwater flow in a Colombian pseudokarst aquifer; pure hydrogeology.
R172EB88AF707,exclude,E01,Microbiology study of Staphylococcus hemolytic activity on blood agar; unrelated to water/sanitation access.
RCE592718FA67,exclude,E04,"Cross-sectional study of household drinking-water bacteriological quality in rural Ethiopia; outcome is fecal contamination, not access."
R68F49743FE44,exclude,E06,Model validation of a microalgae-bacteria consortium for institutional wastewater treatment; pure process engineering.
R8A633061CC14,exclude,E01,"Multi-case study of public-private partnership adoption factors across several public-service sectors; water/wastewater is only one of many sectors, not isolated for analysis."
RF26CA26489EF,exclude,E06,"Fuzzy-logic/GIS delineation of groundwater potential zones in Ethiopia; pure hydrology, no access/governance analysis."
R238BD0283E31,exclude,E06,Reservoir hedging-rule optimization study for drought management in Korea; pure hydrological engineering.
R34FEB04BCC62,exclude,E01,"Cross-sectional survey of household water treatment practices in Ethiopia; predictors are individual education/income, no legal/institutional factor."
R4D68F9AF56BC,exclude,E06,"GIS/multicriteria watershed prioritization for erosion control in India; environmental engineering study, no access outcome."
R6DF2F8F9E5F5,exclude,E04,"Contamination study of N-nitrosamines in karst groundwater in China; outcome is drinking-water safety risk, not access."
R34CC9C01386D,exclude,E06,Model-based siting of wastewater treatment plants to minimize river microbial pollution; pure engineering study.
R4D7898F0B896,exclude,E06,Literature review of constructed wetlands as urban wastewater treatment technology; pure engineering review.
RE5EEB66E23FB,exclude,E01,"GIS study of coastal bacterial contamination impacts on coral reefs in Puerto Rico; lack of sewage service is a passing observation, not the study focus."
R81CDFBB1EB69,exclude,E06,"Environmental water-quality monitoring and villager perception survey along a Lao stream; no legal/governance factor, outcome is water quality."
REDE8FFC30FA5,exclude,E01,Clinical study of surgical treatment tactics for neonatal posthemorrhagic hydrocephalus; unrelated to water/sanitation access.
R0903C2577A17,exclude,E06,Operational case study of nitrogen removal optimization at a Zurich wastewater treatment plant; pure process engineering.
R19618E92E787,exclude,E01,EFSA review of pesticide maximum residue levels for pyrimethanil; unrelated to water/sanitation access.
R904FD4DD930A,exclude,E01,"Cross-national path analysis of human and environmental wellbeing; safe sanitation is one minor input in a broad wellbeing index, not the study focus."
RB098201FEA58,exclude,E01,Cytopathology study of lung cancer needle-aspirate specimen processing; unrelated to water/sanitation access.
R8C306200E800,include,,"Multi-faceted legal/socio-political analysis of Ecuador's water management, water users' associations, and constitutional water rights implementation."
RFDD09C90CFA9,exclude,E01,In vitro study of ferritin expression in macrophages exposed to silica; unrelated to water/sanitation access.
R69425C59F6CD,exclude,E01,Empirical study of intelligent information technology's effect on corporate performance in China; unrelated to water/sanitation access.
R2CD794C359F0,exclude,E01,"Wastewater surveillance and community survey study of antimicrobial resistance risk in the Philippines; focus is AMR, not water/sanitation access."
R647668C44E23,exclude,E05,Historical/theoretical essay on hygiene and sanitation law control during the Bourbon Reforms; Foucauldian narrative with no empirical evidence.
R76D08AC3F38A,exclude,E06,"Review of steroid hormone sources, treatment technologies, and regulations in wastewater; pure environmental engineering review."
RD47206C8D3F1,exclude,E04,"Cross-sectional study of drinking-water fecal contamination determinants in Ethiopian households; outcome is contamination, not access."
R190651753C33,exclude,E06,3-D numerical groundwater flow simulation for a fault-controlled basin in Mongolia; pure hydrogeology modeling.
R55FEB6CED632,exclude,E06,Review of plant microbial fuel cells for combined bioelectricity generation and wastewater treatment; pure engineering technology review.
R756DDA541C2D,exclude,E04,"Groundwater quality and human health risk assessment for Dhaka City; outcome is contamination-related health risk, not access."
R0F0C4BF71A90,exclude,E06,AHP decision-support framework for selecting seawater desalination intake sites in Morocco; pure engineering planning study.
RAB7810743ACD,exclude,E06,Perspective on next-generation secondary wastewater treatment technologies for potable reuse; pure engineering review.
R23156A4B5B1E,exclude,E06,Lab-scale study of woodchip soil amendment for enhancing vegetation-filter wastewater treatment; pure engineering study.
R0AD8A2DFF864,exclude,E06,Geochemical study of carbonate/gypsum precipitation effects on groundwater composition; pure hydrogeochemistry.
R1CFF0D6FED36,exclude,E01,"Survey study of health anxiety and obsessive-compulsive symptoms during COVID-19 in China; over-washing is an OCD symptom category, unrelated to water access."
RA8736B29CFBE,exclude,E01,Cluster-randomised trial of a face-washing behavior-change intervention for trachoma prevention in Ethiopia; behavioral public-health trial with no legal/governance factor.
R05780F3E5D74,include,,Content analysis of US coastal climate and state water plans' engagement with drinking-water salinization planning and resulting provision inequities.
R17C158F102B7,exclude,E01,"Legal/policy essay on telemedicine and wearables for healthcare access in Brazil; sanitation data cited only as background, not the study focus."
R7DFA393C3549,exclude,E01,Bioprocess engineering study of membrane fouling during protein microfiltration; unrelated to water/sanitation access.
RBFA2C11EA948,exclude,E01,"Panel regression study of private vs public investment effects on poverty in sub-Saharan Africa; water/sanitation access is a covariate, not the studied outcome."
RF5F95AF76494,exclude,E01,"Study of conditional cash transfers and food security in the Brazilian Amazon; sanitation infrastructure is a passing discussion point, not examined empirically."
R70542AE8FA40,exclude,E01,Petroleum geology study of bitumen genesis in Paleozoic reservoirs; unrelated to water/sanitation access.
R99997D18A6C1,exclude,E04,"Cross-sectional study of undernutrition among adolescent schoolgirls in Ethiopia; latrine absence is an exposure for a nutrition outcome, not an access outcome, with no governance factor."
RFF727B9CABA7,exclude,E01,Proteomics dataset of platelet acetyl-lysine modifications; unrelated to water/sanitation access.
RACEB3CA3EA53,exclude,E06,Field performance evaluation of sand dams for rural rainwater supply in Kenya; pure engineering/water-quality assessment.
R36DED54ED29F,exclude,E05,Islamic jurisprudential (fiqh) analysis of treated wastewater reuse permissibility; doctrinal religious-legal commentary with no empirical evidence.
RBF73A51B85C9,exclude,E01,Ecological study of feeding-niche differentiation among coexisting hermit crab scavengers; unrelated to water/sanitation access.
R94013281AA63,exclude,E04,"National deworming program survey of soil-transmitted helminths among Afghan schoolchildren; outcome is infection prevalence, not access."
R8124B19F78FB,exclude,E01,Engineering study of equipment reliability at agro-industrial technical service enterprises; unrelated to water/sanitation access.
R225C3B0ABDD1,exclude,E06,GIS/EPANET hydraulic modeling for water supply network management; pure engineering study toward SDG6.
R0ECB728973F1,exclude,E01,Paleoceanographic study of Cretaceous deep-ocean anoxia; unrelated to water/sanitation access.
RD565E65A853B,include,,"Political-economy analysis of how neoliberal, engineering, and rights-based interests shaped a policy extending water access to Mumbai's slums."
R154E211BB6C9,exclude,E01,"Review of gut microbiome dysbiosis and antimicrobial resistance in Middle East conflict settings; poor sanitation is a contextual factor, not the study focus."
RC0ADE13DAB45,exclude,E01,Systematic review of Ethiopia's community health extension program; hygiene/sanitation is one item within a broad primary healthcare review.
R2B1BC9677899,exclude,E01,"Retrospective study of multi-drug resistant cholera outbreak epidemiology in conflict-affected Yemen; water/sanitation infrastructure collapse is contextual background, not the study's exposure/outcome."
R8B5751313C0B,exclude,E06,"Engineering vulnerability-index assessment of a metropolitan water supply system in Utah; technical systems analysis, no governance/access outcome."
RCF162D8B7250,exclude,E04,"Cross-sectional prevalence survey of geohelminth infection among Paraguayan schoolchildren; outcome is infection prevalence, not access."
R9F79F05C604D,exclude,E06,"GIS/fuzzy-logic groundwater potential zone mapping in Ethiopia; pure hydrology, no governance content."
R1D1E0B4A4D04,exclude,E01,"Review of river pollution regulation and remediation approaches in India; concerns environmental water-quality regulation, not household/community water service access."
RFF4A8534BEE0,exclude,E01,"Clinical study of OCD symptom characteristics in Chinese children/adolescents; cleaning-washing is a symptom category, unrelated to water access."
R59116AA8FE3A,include,,"Legal/institutional analysis of Mexico's constitutional human right to water and General Water Law, based on interviews and public-forum observation."
R9A5D7D3B13B8,exclude,E06,"Overview of groundwater response to climate change in the Murray-Darling Basin; hydrological review, no access/governance empirical analysis."
RB5DA355A05D6,exclude,E06,Isotope-tracer study of vegetation water sources in the Sierra Nevada; pure ecohydrology study.
R6D1C8A233E93,exclude,E06,Technical study of ultra-low-pressure reverse osmosis membranes for water/wastewater treatment; pure engineering.
RC729A3BDE2F6,exclude,E01,Materials science study of antimicrobial nanoemulsion-treated cotton medical fabrics; unrelated to water/sanitation access.
R438EDF065083,exclude,E01,Longitudinal water-quality monitoring study of the Han River in Korea; water-quality/pollution study with no access or governance content.
RC0B92320647B,exclude,E04,"Systematic review/meta-analysis of soil-transmitted helminth prevalence among schoolchildren in LMICs; outcome is infection prevalence, not access."
R2DB9E19F1E02,exclude,E01,Seismological study of earthquake triggering from wastewater disposal wells in Oklahoma; unrelated to water/sanitation service access.
R03FAEFAB8759,exclude,E04,"Cross-sectional study of active trachoma prevalence among children in rural Ethiopia; outcome is infection prevalence, not access."
R7F5F0DA8B86C,exclude,E01,Remote-sensing study of NDVI vegetation dynamics in Argentina; unrelated to water/sanitation access.
RBE0C1066BE42,exclude,E06,Engineering design study of a small-scale rainwater harvesting/irrigation system for mine-area afforestation; pure engineering.
R34EF0BABC49B,exclude,E06,"Remote-sensing estimation of the environmental component of the Water Poverty Index in semi-arid Mexico; technical methodology study, not an empirical access analysis."
R4E3FAD7B8A16,exclude,E04,"Spatiotemporal epidemiological study of cholera outbreaks in Ethiopia; outcome is disease dynamics, not water/sanitation access."
R8E7273A55BB9,exclude,E06,Hydrodynamic modeling study of tidal-phase sewage discharge dilution strategies; pure engineering/oceanography study.
R56FBCAF6D670,exclude,E01,Finance study of investor participation in social impact bonds; unrelated to water/sanitation access.
R3997288247B4,exclude,E06,Graph-theoretic vulnerability model of an urban water distribution network in Saudi Arabia; pure engineering study.
RB4C8B1CF0883,exclude,E06,Study of vivianite mineral scaling mechanisms in wastewater treatment plants; pure process engineering.
R2AA16C1E1EA5,include,,"Case study analysis of economic instruments, regulation, and property-rights ambiguity shaping water access and consumption in Botswana's water sector."
RC52BD0CA5341,exclude,E01,Petroleum geology study of hydrocarbon accumulation in a Turkmenistan gas field; unrelated to water/sanitation access.
RFEA7F5DD8454,exclude,E01,Taxonomic observational study of an intertidal marine ameba; unrelated to water/sanitation access.
RCF18D05662FD,exclude,E01,"Participatory modeling study of socioeconomic drivers of contagious pig diseases in Zambia; sanitation is a minor factor in animal disease transmission, not human water/sanitation access."
R08BAB68301EA,exclude,E01,Review of roof-contacting backfill technology in metal mining; unrelated to water/sanitation access.
R3965203A7600,exclude,E06,Modeling study of rainwater harvesting system efficiency under climate change in Chinese cities; pure engineering study.
